,Номер участка,Содержание азота (N),Содержание фосфора (P),Содержание калия (K),Дата измерения
431,14,76,47,89,2018-05-29
432,10,293,32,204,2017-08-18
433,9,366,314,159,2014-02-05
434,4,140,155,345,2000-12-27
435,13,34,160,346,2007-03-14
436,11,356,51,37,2014-07-27
437,17,320,271,3,2017-04-16
438,19,268,56,399,2014-07-20
439,15,4,101,170,2011-11-19
440,1,243,144,166,2009-10-29
441,19,155,239,313,2015-09-12
442,19,52,272,375,2018-03-24
443,10,315,307,40,2015-03-27
444,14,138,127,152,2024-02-27
445,9,131,178,355,2011-11-19
446,12,314,160,115,2012-03-01
447,18,183,25,24,2009-08-14
448,16,149,68,174,2001-07-08
449,2,193,317,80,2010-07-25
450,13,89,206,70,2019-10-21
451,15,32,6,70,2011-09-03
452,6,136,106,242,2018-05-09
453,16,255,18,41,2024-08-15
454,2,146,263,397,2019-05-05
455,1,85,130,355,2010-08-08
456,4,121,88,321,2004-06-03
457,20,125,231,121,2019-03-12
458,8,332,158,380,2003-03-21
459,12,104,310,271,2003-06-24
460,20,230,151,34,2000-04-10
461,2,230,90,140,2024-02-19
462,6,272,335,328,2014-05-01
463,10,249,347,176,2013-12-07
464,13,282,254,123,2015-02-28
465,17,13,362,56,2009-10-17
466,13,179,275,21,2000-05-19
467,9,298,69,171,2002-05-12
468,6,188,183,369,2010-08-04
469,18,203,128,324,2011-07-17
470,20,334,95,290,2006-09-15
471,14,124,199,22,2004-06-01
472,13,328,14,83,2000-04-18
473,13,226,211,228,2008-08-19
474,17,180,366,0,2006-05-02
475,15,315,196,331,2010-11-13
476,6,364,357,389,2007-08-18
477,8,270,82,119,2008-05-06
478,6,142,131,243,2001-01-05
479,3,335,330,122,2011-12-04
480,16,42,177,323,2015-12-25
481,10,369,283,334,2024-04-28
482,6,145,37,240,2019-05-02
483,4,252,44,321,2024-03-24
484,19,94,194,284,2011-05-13
485,10,238,388,284,2017-06-16
486,11,273,363,158,2007-08-27
487,4,338,341,112,2013-12-11
488,13,216,202,346,2004-06-30
489,12,258,330,61,2007-02-18
490,1,63,388,205,2024-07-16
491,13,215,388,392,2002-12-23
492,11,207,389,37,2009-12-20
493,6,21,191,220,2009-04-23
494,3,373,108,380,2011-07-29
495,1,213,243,97,2024-01-27
496,3,348,235,241,2023-02-06
497,3,68,179,117,2017-10-22
498,15,341,300,299,2014-02-08
499,13,201,204,27,2008-01-22
